title,paragraphs
The Latest: A Call to ‘Fox & Friends’,it started with a whistle  Blowers complain about President Trump's contact with a foreign leader  Had a perfect phone call with the president of Ukraine  Like I mean perfect  Today I'm announcing the House of Representatives moving forward with an official impeachment inquiry
The Latest: A Call to ‘Fox & Friends’, It is our great pleasure to welcome the president  United States Donald Trump calling in Mr Trump  Good morning  Good morning  It's Julie Davis in the Washington Bureau of The New York Times
The Latest: A Call to ‘Fox & Friends’," The latest is that after two weeks of public impeachment hearings, President Trump had a lot to get off his chest  Good to have you on Fox and Friends today  Uh, as you said in your tweet  Another slow news week one by one"
The Latest: A Call to ‘Fox & Friends’," Okay, first of all, loca, I don't know him  He's trying to discredit the witnesses in the inquiry so far  Kurt  Volker don't know him  Uh, this guy Sunlen hardly know him  I've had a couple of conversations with him  I see him hanging around"
The Latest: A Call to ‘Fox & Friends’," You know what? I go to Europe  Gordon Sandlin  Look, the ambassador  The woman Re Ivanovich she wouldn't even put up  She's an Obama person, you know  But I said, why are you being so kind  Well, so she's a woman  We have to be nice  David Holmes"
The Latest: A Call to ‘Fox & Friends’," How about the guy with the telephone? How about that one? I guarantee that never took place, He said He's sitting there listening to me, and he gave kind of a preview of what the Republican and Peter response will be and what his reaction is going to be as this whole thing unfold"
The Latest: A Call to ‘Fox & Friends’," Ah, lot of it had to do  They say, What? Ukraine? Which is that everything the president did he did because of corruption in Ukraine  He did, because he essentially was the victim of this scheme that Ukraine was trying to pull off  But Mr Person interesting  It's very interesting"
The Latest: A Call to ‘Fox & Friends’," They have the server right from the DNC Democratic National Committee  Who has the circle? The FBI went in and they told him, Get out of here  You're not kidding  We're not giving it to you"
The Latest: A Call to ‘Fox & Friends’," They gave the server to Crowdstrike, or whatever it's called, which is a country which is a company owned by very wealthy Ukrainian  And I still want to see that server  You know, the FBI has never gotten that server  That's a big part of this whole thing"
The Latest: A Call to ‘Fox & Friends’," Why did they give it to a Ukrainian company, where you sure they did that? In short, he's saying that Ukraine, not Russia, was behind interference in the 2016 election"
The Latest: A Call to ‘Fox & Friends’," So why wouldn't he re evaluate or question or ask Ukraine to investigate? And why wouldn't he be skeptical of having a White House meeting or sending hundreds of millions of dollars in American military assistance money to Ukraine? Are you sure they gave it to Ukraine? Well, that's what the word is"
The Latest: A Call to ‘Fox & Friends’," That's what I asked actually in my phone call  And you know, I mean, I asked it very point black, because we're looking for corruption"
The Latest: A Call to ‘Fox & Friends’," So this is interesting because, of course, just yesterday in the final day of the impeachment hearings of the week, as Democrats are kind of wrapping up their public case and getting ready to sort of sum it up in a big report for the public, their witness, Fiona Hill, who was the top Europe and Russia expert at the National Security Council, almost seemed to anticipate this"
The Latest: A Call to ‘Fox & Friends’," Some of you on this committee appear to believe that Russia and its security service's did not conduct a campaign against our country and that perhaps somehow for some reason, you craned it  This is a fictional narrative that has been perpetrated and propagated by the Russian security service's themselves"
The Latest: A Call to ‘Fox & Friends’," She told Republicans in the room  This idea that Ukraine influenced the election, this idea that it was Ukraine that meddled and not Russia  It's fiction  The unfortunate truth is that Russia was the foreign power that systematically attacked our democratic institutions in 2016"
The Latest: A Call to ‘Fox & Friends’," I say this not as an alarmist but as a realist and the cost of this investigation, I would ask that you please not promote politically driven falsehoods that so clearly advanced Russian interests  Thes fictions are harmful, even if they're deployed for purely domestic political purposes"
The Latest: A Call to ‘Fox & Friends’," Not only is it fiction, but it's fiction that is essentially a Russian disinformation campaign that is designed to interfere with American democracy  Right now, Russia's security service is on  Their proxies have geared up to repeat their interference in the 2020 election"
The Latest: A Call to ‘Fox & Friends’," We're running out of time to stop them and you know, The Times reported this afternoon that Fiona Hill's testimony ah, lines with information that the American intelligence community has actually been sharing with senators in recent weeks and telling them over the last couple of weeks that they've discovered that Russia for years has tried to frame you Crane as the nation behind the 2016 hacking to say that it wasn't us, it was Ukraine that framed us"
The Latest: A Call to ‘Fox & Friends’," But based on what we saw on TV this morning, it seems like this is going to be central to the president's impeachment defense  He's not dismissing  This is a conspiracy theory"
The Latest: A Call to ‘Fox & Friends’," He's embracing this as kind of the core of his own defense in the impeachment case, and furthermore, frankly, I want to try  You know, I could think I could have it  You want to try what Everyone? Oh, I would"
The Latest: A Call to ‘Fox & Friends’," But we're starting to see signs that this is also the story we're gonna be hearing in the Senate once the House more likely than not votes to impeach Trump in the coming weeks, sending things to a trial in the Senate, which is controlled by Republicans"
The Latest: A Call to ‘Fox & Friends’," Lindsey Graham, who is the Republican chairman of the Judiciary Committee, wrote to the State Department this week asking for documents about Joe Biden and his son, Hunter Biden, who sat on the board of this Ukrainian energy company, their contact with the former Ukrainian president, the context that other members of the Obama administration had with Ukrainians in the past"
The Latest: A Call to ‘Fox & Friends’, It's all a sign that he's going to try to lay out in hearings some sort of alternate narrative to what the Democrats have been presenting in the House
The Latest: A Call to ‘Fox & Friends’, And it looks like that's the same narrative the president was promoting today and that Fiona Hill and American intelligence officials have been warning about
The Latest: A Call to ‘Fox & Friends’," I'm not a doctor, But if I was writing a prescription, calling in every week to update the country about what's happening might be good for your health, that's something to consider  You have the phone number, you know that  I've been doing it for years"
The Latest: A Call to ‘Fox & Friends’," Remember group with your group? I've been doing it for stress release  It was up to me, and it is up to me and we'll do it more often"
The Latest: A Call to ‘Fox & Friends’," But I have a lot of fun doing it, and you know what? The nice part we get? We get the true word out, and that's the latest  We'll be back when things pick up after Congress is holiday break  Sometimes a single moment can change everything"
The Latest: A Call to ‘Fox & Friends’," I used to stay up late at night with my dad watching movies on TV, and one night he cried  Um, Alicia Burke, host of the new podcast that made all the difference"
The Latest: A Call to ‘Fox & Friends’, I talked to achievers like documentary filmmaker Ken Burns about the moments that inspired them to make an impact
The Latest: A Call to ‘Fox & Friends’," I knew that there was some power to film that I wanted to be a part of you confined that made all the difference Anywhere you get your podcasts created by Bank of America, what would you like the power to d'oh!"
The Candidates: Pete Buttigieg,"I remember in history class must have been a junior  He was during the impeachment process of President Clinton or all all the scandal, everything that was going on  And I remember the teacher was just kind of riffing on this"
The Candidates: Pete Buttigieg," And he said, You know, when anybody here ever want to be president or wantto run for office Seeing what a mess and one ugly place Washington wasn't it? I just may be involuntarily"
The Candidates: Pete Buttigieg," My hand went up, and from then on it became the running joke, the class that I'd wind up running for president  Then, by the time I got to college, I had this institute of politics at Harvard, and every day they would be a different speakers would come through"
The Candidates: Pete Buttigieg," Remember when I was there is a freshman people like Donna Brazile, who would just come off managing the Gore campaign, and Rick Davis, who had done the same thing for McCain and the former president of Ecuador  He'd been deposed in a coup"
The Candidates: Pete Buttigieg," You just kind of hang around and watch him and see what they were like  The biggest realization was that they're just people, these people who were shaping the world, people I was seeing on TV were obviously very impressive people, but there they were just people"
The Candidates: Pete Buttigieg," I think it changed my awareness of the fact that on some level I could be part of that world, too  But in a very simple sense, especially coming from Indiana, it seemed that it was a choice  You could be in elected office"
The Candidates: Pete Buttigieg," Or you could be an out gay person  Not both  Please, not where I was from"
The Candidates: Pete Buttigieg, From the New York Times Unlikable Borrow This is the daily I am running my candidacy for president in our series on the pivotal moments in the lives of the top four Democratic candidates for president
The Candidates: Pete Buttigieg," I'm running for president and I'm running for president, president of the United States today  I'm a proud son of South Bend, Indiana, and I am running for president  It's Friday, November 22nd  So Jeremy Peters, you cover politics for the times, and you've been closely tracking Mayor Buddha"
The Candidates: Pete Buttigieg," Judge in In order to better understand the Democratic field of presidential candidates, we're trying to figure out the most revealing moments in their lives  So when it comes to Pete Buddha judge, what moment should be focused on"
The Candidates: Pete Buttigieg," Well, Mayor Pete has always been a candidate for whom his story, his biography, is very central to his appeal to voters, and he's got a great story to tell  He's been elected mayor of this medium sized town in Indiana before turning 30  He has an Ivy League pedigree"
The Candidates: Pete Buttigieg," He's been a Rhodes scholar  He's worked at a prestigious consulting firm  He's going off to Afghanistan as part of the Navy reserves  So he has all of these components that you kind of think if you're a voter, wow, he really stands out  There's something unique about this guy"
The Candidates: Pete Buttigieg," But at the same time, for most of his adult life, he had this nagging secret the secret that he couldn't confront because he thought that it would mean the end to this political career that he had spent so much time perfecting, basically, since he went away to college and decided, Hey, you know I can run for president and he doesn't see how it's possible for the politician with the perfect background"
The Candidates: Pete Buttigieg," The perfect resume toe also be open about their sexuality in his case  So how he reconciles this inner turmoil with his very public ambition I think is a defining moment in his life, if not the defining moment  Welcome to the studio  Thank you  You're gonna sit there"
The Candidates: Pete Buttigieg," So that story begins in 1982 in South Bend, Indiana, where Peter Buddha judge is born  Mayor  Tell me about the kind of kid that you were going up in Indiana"
The Candidates: Pete Buttigieg," Well, I think I was safe to say well on the nerdy side lived in ah, neighborhood kind of middle of South Bend, close to a park where you would have as much as possible what you'd call a prototypical Midwestern kids upbringing"
The Candidates: Pete Buttigieg," You know, playing in the park with friends  A lot of time in the house  It was really interested in baseball cards, but I was more interested in categorizing them that I was in in baseball, I think loved science and science fiction loved reading"
The Candidates: Pete Buttigieg," Plus, I was an only child  So I think it's safe to say I had ah lot of interior life going on in a fairly quiet house where it was dog and my parents who were both academics and me"
The Candidates: Pete Buttigieg," What was your introduction to even the idea of politics? Politics was always in the air in our house just because my parents were very politically passionate, they're really cared about what was happening  I remember the Democratic convention  It must have been 1988"
The Candidates: Pete Buttigieg," NBC News Continues Its coverage of America's convention's been six years old and my parents explaining what a convention was  I remember Jesse Jackson giving a speech, but I look out at this convention  I see the face of America red, yellow, brown, black and white"
The Candidates: Pete Buttigieg," We all precious in God's sight  The Rial Rainbow Coalition  And I remember my parents thinking it was important to watch the Republican convention to I mean, you would stop  You know, I don't think I ever crossed their mind to ever vote for Republican  Get out"
The Candidates: Pete Buttigieg," Now let's go down to the podium  Here is George Herbert Walker Bush addressing his convention  Everything in the house would kind of stop, and it was time to watch what was playing out  Thank you"
The Candidates: Pete Buttigieg," And what moment and this early phase of your life did you go from just watching this and maybe finding it very fascinating  Two feeling really drawn to it  Well, when I got to college, it felt like the Republicans and the Democrats at the time"
The Candidates: Pete Buttigieg," It's crazy to think about now, polarized as we are, but would have felt like when I showed up as a freshman on campus was that the two parties were converging and not necessarily in a good place, that you had this kind of center right and center left, both of them very committed to growth and and business"
The Candidates: Pete Buttigieg, But but it seemed not very committed at all to some of the questions of how we take care of vulnerable people around the country  And I think there's a moment for any kind of well spoken or intelligent young person watching the news
The Candidates: Pete Buttigieg," When you see a senator or a candidate saying something or doing something and you think, Well, that's not right  I could do that  I could do it different now you might be wrong"
The Candidates: Pete Buttigieg," You think they might be way more sophisticated than you are and you can't see it or you might be right, and it might well be the case that what they're saying is just not right"
The Candidates: Pete Buttigieg," But I certainly had that feeling reinforced when I saw these figures come to campus, some of whom are extremely impressive but, uh, none of whom seemed like they were on a different plane of existence  They were just so at this point, you're too into Harvard"
The Candidates: Pete Buttigieg, Have you made up your mind? You're probably going to find a way tohave a career in politics  I knew I wanted a career that involved policy  I don't think I'd figured out for sure that that meant running
The Candidates: Pete Buttigieg," Plus, you know, when I thought about it even well before I was coming to terms with the fact that I was gay, I knew that I had no political connections at home  I had an unpronounceable name and I was, ah, Democrat who lived in Indiana"
The Candidates: Pete Buttigieg," So it was not obvious that I could overcome some of the obstacles toward running, but I think it's safe to say, By the time I graduated, I had some sense that I could see myself doing it"
The Candidates: Pete Buttigieg," Well, I wanna talk to you about that realization of your sexuality in particular"
The Candidates: Pete Buttigieg," Obviously, your candidacy is historic in a couple of different ways, and among those is the fact that the first major party presidential candidate who is openly gay and so I want to ask you about that part of your identity"
The Candidates: Pete Buttigieg, When did you sense that you were gay? When did that realization start to dawn on you? I think it depends what you mean by a realization  Right there  Things you could point to going way back  Certainly a fascination I had with a classmate when I was about 12
The Candidates: Pete Buttigieg," That, in hindsight, is very obviously a crush, but I was not willing to think of it that although some part of me must have  I mean, I wasn't stupid either"
The Candidates: Pete Buttigieg," Right? So you have this kind of awareness that was definitely there By the time I was I was hitting middle school  But taking a word like gay and applying it to myself, I was still years away from being able to do that, even in my own mind"
The Candidates: Pete Buttigieg," Well, what did you do with those feelings? I guess I packed him up  Yeah  Packed amount  Much would be the best dancer  Back him up and put him where? I don't know  I don't know how these things work even in your own mind"
The Candidates: Pete Buttigieg," I just didn't explore them, that's for sure  First of all, they're not a lot of out gay people that I knew as such  Growing up, I mean in high school is exactly zero  There was just no sense of gay life for a gay community"
The Candidates: Pete Buttigieg," And when I got to college, that's when the kind of internal battle was starting to heat up  Why? I think because you just can't escape it"
The Candidates: Pete Buttigieg," I mean, thank God you're in college, right, Nina? Any feelings you have, especially in the romantic department, are going to start asserting themselves even more fiercely than they have when you get to college"
The Candidates: Pete Buttigieg," For a lot of people, it's a big part of what you spend college on, right? So how did you deal with it? Same way I dealt with it up to them, just packed it away, Stated women remarkable women  Because I enjoyed these relationships"
The Candidates: Pete Buttigieg," I think I could defer facing the fact that that wasn't the same as, uh, what it was to be in love with somebody  And your political ambition was already solid at that point"
The Candidates: Pete Buttigieg," Yeah, I still didn't know exactly where would take me or what it would mean, But I think by then I knew that there was a good chance I was gonna be running for office in my adult life"
The Candidates: Pete Buttigieg," But at that point, I'm still clinging to some kind of hope, however vanishing that maybe I'm straight or I'm bisexual  I just not worry about the gay part"
The Candidates: Pete Buttigieg," I think what I thought about my career, certainly when I talked about my future, how is gonna be involved? I wasn't even thinking about the possibility that that would come into contact with this developing side of me"
The Candidates: Pete Buttigieg," But I'm sure to the extent that I thought what it would mean to come to terms with the fact that I was very least different and as became increasingly clear gay, that one of the things that would have kept that in its corner was a simple fact that that didn't fit with any of the other things I wanted to do in life not just ah career, but a family"
The Candidates: Pete Buttigieg," I wanted to get married  I don't have kids  From my perspective  You could be married and have kids, or you could be get both  You graduate in 2004 That wrong? That's the year when Massachusetts legalizes gay marriage"
The Candidates: Pete Buttigieg," Yes, The court today is, you know, in a 43 advisory opinion to the Senate has ruled that in the November 18th 2003 decision they meant manage, they meant equality  They meant that the Commonwealth may no longer deny, manage right to same sex couples"
The Candidates: Pete Buttigieg," So I say that on Lee to try to understand, Are you falling behind the culture? In a sense, are you ignoring some of the signs that these things were changing? Midge and only Midge will be enough to satisfy the requirements of the Massachusetts Constitution"
The Candidates: Pete Buttigieg," Well, thing is, I wasn't from Massachusetts  I was in Massachusetts for a while, but I never felt like I was from there  And, ah, nothing against Massachusetts  But I realized pretty quick after turning up at Harvard that I didn't belong there, either"
The Candidates: Pete Buttigieg," Um, why not? It was just It was just a different culture  I didn't realize that  I didn't realize that I was Midwestern until I left the Midwest and just little things  Cultural things, the way I don't know the way people interact What's expected of you"
The Candidates: Pete Buttigieg," Once I got there, I realized that socially I was way more Midwestern than I thought"
The Candidates: Pete Buttigieg," So take me from graduating from Harvard to your decision to join the Navy reserves, so it starts with 9 11 actually starts before 9 11 There's this family tradition of serving in the military"
The Candidates: Pete Buttigieg," There's a painting hanging on the wall of my parent's house of a relative, a great uncle who kind of idolized in theory"
The Candidates: Pete Buttigieg," Hey was an Army Air Corps pilot, and so I had this idea, this maybe romantic idea of being in the military, and then it never really became riel"
The Candidates: Pete Buttigieg," But I remember on 9 11 thinking, Oh, war isn't just a thing that happens in other places where in other periods of history, like war has come to my generation to and thinking, at least in the back of my head that that might mean I would be involved but not taking any steps to do with it"
The Candidates: Pete Buttigieg," But that turned into more and more of a nagging feeling when, when some friends of mine start to serve a friend of mine from college shared with me just before we graduated that he had decided to join the Navy Reserve was fascinated, and then when I I was talking thio someone about applying for the Rhodes Scholarship and how I wanted to talk about my interest in public service"
The Candidates: Pete Buttigieg," And she's a faculty member whose giving advice to students and just said pointedly like You might wantto really think about how you're going to say that knowing that you're gonna be competing against people from the military academies  Oh, yeah, that's true"
The Candidates: Pete Buttigieg," Like my chest thumping about caring about public service feels a lot smaller, held up against what others air doing"
The Candidates: Pete Buttigieg," Do you think that was one of the things that might have drawn you to military service? Knowing that that to get a roads to be in that world in that league, you know, it might be a good thing, I think definitely that it was part of how your fruit to, ah, culture of service and also the Kennedy presidency kind of hangs over the certainly the Kennedy School"
The Candidates: Pete Buttigieg," As you might imagine, that can't be separated from his military career"
The Candidates: Pete Buttigieg," I mean, really, it was almost an expectation that you would've served up until roughly the time when I came of age, when everything shifted an expectation that you would serve Uh, well when you're looking at the history of you know, the people we were studying"
The Candidates: Pete Buttigieg," Ah, President made history  Yeah, as presidents  And then the thing that put me over the top of this experience, knocking on doors in Iowa with a couple of buddies from college  We went out, We took a week off and rented a car"
The Candidates: Pete Buttigieg," And it was the last few days before the Iowa caucuses, and we were volunteers for Obama  They sent us to this very rural area, some of the lowest income counties in Iowa  And it felt like anytime I met a young, especially a young man"
The Candidates: Pete Buttigieg, It was somebody who was serving or was about to surf and starting to realize here you had service  That used to be something that bridge people together now is completely different
The Candidates: Pete Buttigieg," That if you were rural or low income, you were highly likely to serve if you were from a background like mine, which was middle class economically  But I'd had the chance to go to an institution like Harvard"
The Candidates: Pete Buttigieg," Almost nobody with that background was serving, and I began to feel like it wasn't just this kind of thing I thought about that I hadn't got round to is that I was part of a problem  I was part of a divide"
The Candidates: Pete Buttigieg," That was the thing that kind of propelled me that last few inches toward being ready, tow, Yank, open the door of the recruiting office in Indiana and say, Hey, how do I sign up? I wonder, Do you think you join the military in part because you knew what it would mean for a political career? You know, I wrestle with that because this is I get that question"
The Candidates: Pete Buttigieg," There's a part of me that thinks if the answer is yes, does that mean the service wasn't pure in some way? And I remember the time asking myself if being in the military was as unpopular as it is today"
The Candidates: Pete Buttigieg," Popular What? I still do it, and I want to believe the answer is yes  But there's no way to go back and prove it  I'm not somebody who thinks that it's like a prerequisite that if you want to run for office, you need to have served"
The Candidates: Pete Buttigieg, But I do think you have a heart for elected office  One way to put your money where your mouth is is to have been in that kind of service to you
The Candidates: Pete Buttigieg," That strikes me as a very candid answer because, of course, you could just say, Well, of course I would have done it even if there was no possible political benefit"
The Candidates: Pete Buttigieg," And I want to say that I just can't prove it, Huh? So I want to talk about this Run from air for just a little bit  Whenever you want for office, your character is on display, and at this point, you are keeping something quite elemental about yourself"
The Candidates: Pete Buttigieg, Secret? Did it feel like you're hiding something? Not really  The only time it felt that way was when there was small talk about whether I was dating  Then I would crack a joke or something
The Candidates: Pete Buttigieg," We'd be sitting in a studio like this one, and a radio host would ask a question  And I'd say, Well, if anybody listening is in the economic policy and long walks on the beach, go ahead and reach out"
The Candidates: Pete Buttigieg," Just kind of play the busy single person, which is what I was, um, except for the fact that it wasn't actively looking for love, us going out of my way to avoid it"
The Candidates: Pete Buttigieg," But if somebody had a straight up asked me on the record to this day, I'm not sure what I would have done"
The Candidates: Pete Buttigieg," Do you think that that would have potentially cost you? The mayoralty would have kept you from being mayor Staying mayor? Yeah, I think there's a good chance of that  There's a reason why"
The Candidates: Pete Buttigieg," No, as far as I know, no out gay person had ever run for mayor of any place in Indiana  This is a state with strong Christian values and not known for progressive, social, uh, outlooks on politics"
The Candidates: Pete Buttigieg," And here I am, rocking up 29 years old, saying, Trust me, Support me  Never mind this state legislator who has earned tons of credibility in this community  Never mind this county councilman who's the party favorite  Go with me instead"
The Candidates: Pete Buttigieg," If there had been anything that looked like a skeleton or ah, vulnerability, I think it probably would have sunk me before I got anywhere at all  So I want to now move into this notion of you reconcile in these things  Yes"
The Candidates: Pete Buttigieg, So when I first joined the reserve that the message was kind of your pretty much gonna goto one of these wars and we'll let you know which one  And so I knew that a certain point
The Candidates: Pete Buttigieg," It was coming and of course I didn't want to take office in South Bend without a plan for this  So we had gained it out with my team  If I get orders, here's what you do"
The Candidates: Pete Buttigieg," And when I received my orders and knew I was going for sure, I don't think even then it occurred to me that it would have much to do with my sexuality  If anything, I was thankful that I was single, right"
The Candidates: Pete Buttigieg, I'm the hardest thing for people who deploy is the fact that you're leaving behind somebody you love in addition to all the professional complications
The Candidates: Pete Buttigieg," But then the more I I started getting mentally ready for going over and really thinking about what it meant, the more it started weighing on me that that I didn't have Ah ah, I wasn't coming back to ah family"
The Candidates: Pete Buttigieg," My parents, of course, but I wasn't coming back to a household  And more than that, I had no idea what it was like to be in love  And the idea that I'm here I am  I'm a grown ass man"
The Candidates: Pete Buttigieg," I own a home of the mayor of my city  I'm a military officer and If I get killed over there, I will go to my grave not knowing what it's like to be in love and that just maybe realize how untenable this situation I was in real Iwas"
The Candidates: Pete Buttigieg," And up until then, it didn't seem untenable, I guess because I was so busy and I might have differed coming out and having a dating life forever  If not for this moment where I'm thinking should I could die  You were the letter I want to ask you about"
The Candidates: Pete Buttigieg," Yeah  Ah, you know, it's the thing you do  I assume everybody does it  I don't know  Um, but it's the thing you do when you go to war  You want to make sure that you have the last word on ah on your life and leave a few instructions"
The Candidates: Pete Buttigieg," So I wrote up a letter, put an envelope put just in case on the outside  Put it in the desk drawer would have been pretty easy to find if if worse came to worst on"
The Candidates: Pete Buttigieg," Ah, and that's a real moment, too, because you're sitting there staring at the screen, trying to figure out how to give a short accounting of your life and What did you say? Well, what I said was that I wouldn't want people to think that I'd been cheated"
The Candidates: Pete Buttigieg, That obviously be terrible if I didn't come back
The Candidates: Pete Buttigieg," But I'll say this amazing life where I have wonderful friendships and I got to serve my community in a way that very few people get to d'oh, let alone at my age and that I'd had this very fulfilling life and of course, would be, ah, be too bad if something happen to me"
The Candidates: Pete Buttigieg," But but to keep that in perspective  But if you're asking if there was like P s, I'm gay  No, that's kind of so you're unemployed"
The Candidates: Pete Buttigieg," You do not die, but you come back and your mayor And how do you decide that it's time to come out? Well, I think by the time I hit the ground and I was back, I knew that I was going to come out and then it's just was more how and when remember resenting the idea that you're supposed toe have to come out right straight"
The Candidates: Pete Buttigieg," People don't have to come out  What do I And then, while I'm in the process of figuring this out Thank you all for coming  It's been a tough week here in the Hoosier State, but we're gonna move forward"
The Candidates: Pete Buttigieg," We have this explosive controversy over Mike Pence, the governor, Mike Pence in his so called religious Freedom bill  The Religious Freedom Restoration Act was about religious liberty, not about discrimination  So suddenly we're on national television, my state as the most officially anti gay state in the country"
