The Latest: A Call to ‘Fox & Friends’,"<p>President Trump called into ‘Fox &amp; Friends’ this morning to respond to all that has been said over two weeks of public impeachment hearings. The conversation offered a preview of what may become the president’s impeachment defense.</p><p><em>“The Latest” is a new series on the impeachment inquiry, from the team behind “The Daily.” You can find more information about it&nbsp;</em><a href=""https://www.nytimes.com/2019/11/22/podcasts/the-latest-impeachment-trump-fox.html"" target=""_blank""><em>here</em></a><em>.</em></p>","Fri, 22 Nov 2019 23:40:13 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/d7ced290-549f-448a-89ad-26297d74a494.mp3']
The Candidates: Pete Buttigieg,"<p>Today we launch Part One in our series on pivotal moments in the lives of the 2020 presidential front-runners. In studio with “The Daily,” Pete Buttigieg, the mayor of South Bend, Ind., talks about how his lifelong political ambitions were complicated by the secret he kept for decades.</p><p>Guests:&nbsp;</p><ul><li>Pete Buttigieg, mayor of South Bend, Ind., and 2020 Democratic presidential candidate.</li><li><a href=""https://www.nytimes.com/by/jeremy-w-peters?smid=pc-thedaily"" target=""_blank"">Jeremy W. Peters</a>, a politics reporter in the Washington bureau of The New York Times.</li></ul><p><br></p><p><em>﻿“The Candidates” is a new series from “The Daily” exploring pivotal moments in the lives of top presidential contenders in the 2020 election. For more information on today’s episode, visit</em><a href=""https://www.nytimes.com/thedaily"" target=""_blank""><em> nytimes.com/thedaily</em></a><em>.</em></p>","Fri, 22 Nov 2019 10:29:33 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/c20c3ae3-c7f4-4471-8eb6-e24cceffb555.mp3']
The Latest: The Irregular Channel,"<p>Throughout the impeachment inquiry, an image has surfaced of the Trump administration’s two policymaking channels on Ukraine — one regular, one not. Today’s testimony from Fiona Hill, President Trump’s former top adviser on Russia and Europe, raised the question: Which was which?</p><p><em>“The Latest” is a new series on the impeachment inquiry, from the team behind “The Daily.” You can find more information about it&nbsp;</em><a href=""https://www.nytimes.com/2019/11/21/podcasts/the-latest-impeachment-fiona-hill-gordon-sondland.html"" target=""_blank""><em>here</em></a><em>.</em></p>","Thu, 21 Nov 2019 23:11:45 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/74f0576d-d1d0-4a9c-ba82-b1cc49a4c1a0.mp3']
‘We Followed the President’s Orders’,"<p>Gordon D. Sondland, the United States ambassador to the European Union, has evolved from a loyal Trump campaign donor to a witness central to the impeachment inquiry. But his testimony has been contradicted on multiple occasions.</p><p>Today, we look at how both Democrats and Republicans on the House Intelligence Committee handled their most complicated witness to date.&nbsp;</p><p>Guest: <a href=""https://www.nytimes.com/by/nicholas-fandos?smid=pc-thedaily"" target=""_blank"">Nicholas Fandos</a>, who covers Congress for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p><p>Background reading:</p><ul><li>Mr. Sondland<a href=""https://www.nytimes.com/2019/11/20/us/politics/pompeo-sondland-trump-impeachment.html?action=click&amp;module=Top%20Stories&amp;pgtype=Homepage?smid=pc-thedaily"" target=""_blank""> implicated Secretary of State Mike Pompeo</a> in the nation’s biggest foreign policy controversy in nearly two decades. Reciting emails that he had written to Mr. Pompeo, he said that “everyone was in the loop.”</li><li>Confused about what this moment might mean? Here are answers to<a href=""https://www.nytimes.com/2019/09/24/us/politics/impeachment-trump-explained.html?action=click&amp;module=STYLN_trump_playbook&amp;variant=1_trump_playbook&amp;state=default&amp;pgtype=Article&amp;region=footer&amp;context=guide?smid=pc-thedaily"" target=""_blank""> seven key questions</a> about the impeachment process.</li></ul>","Thu, 21 Nov 2019 10:55:49 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/abc33955-4a09-4635-9fc0-9e36cf977a44.mp3']
The Latest: ‘Everyone Was in the Loop’,"<p>In explosive testimony, Gordon D. Sondland, the United States ambassador to the European Union, directly implicated President Trump, Vice President Mike Pence, Secretary of State Mike Pompeo and other top administration officials in what he said was a push for a “clear quid pro quo” with the president of Ukraine. But during questioning, things got complicated.</p><p><em>“The Latest” is a new series on the impeachment inquiry, from the team behind “The Daily.” You can find more information about it&nbsp;</em><a href=""https://www.nytimes.com/2019/11/20/podcasts/the-latest-impeachment-gordon-sondland.html"" target=""_blank""><em>here</em></a><em>.</em></p>","Wed, 20 Nov 2019 23:13:35 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/5f03c8aa-e2c9-41ae-849e-553086c67e6b.mp3']
What Happened to Kamala Harris?,"<p>When Senator Kamala Harris started her presidential campaign 10 months ago, she drew a crowd of 20,000 to her kickoff rally — the biggest of any candidate’s. She was talked about as a potential heir to the political coalition that carried Barack Obama to the White House. We followed her campaign to South Carolina to explore why, after such fanfare, she’s now polling in the single digits.&nbsp;</p><p>Guest: <a href=""https://www.nytimes.com/by/astead-w-herndon"" target=""_blank"">Astead W. Herndon</a>, a national political reporter for The New York Times, and Monika Evstatieva, a producer on “The Daily.” For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p><p>Background reading:</p><ul><li>Ms. Harris said she wanted relevant policy, not “a beautiful sonnet.” Here are the<a href=""https://www.nytimes.com/interactive/2020/us/elections/kamala-harris.html?searchResultPosition=5"" target=""_blank""> signature issues of her campaign</a>.</li><li>We asked 21 candidates the same 18 questions.<a href=""https://www.nytimes.com/interactive/2019/us/politics/kamala-harris-2020-campaign.html"" target=""_blank""> Hear Kamala Harris’s answers</a>.</li></ul>","Wed, 20 Nov 2019 10:54:21 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/5b9a445b-47f2-4ac1-b7ef-b2709896e7df.mp3']
The Latest: A Republican Strategy Revealed,"<p>Lt. Col. Alexander Vindman, the top Ukraine expert on the National Security Council, gave public testimony of his alarm at what he heard during President Trump’s July phone call with the leader of Ukraine. Appearing in his Army dress uniform trimmed with military ribbons, Colonel Vindman spoke of himself as a patriot, an account that Democrats echoed. The president’s Republican allies, however, told a different story.</p><p><em>“The Latest” is a new series on the impeachment inquiry, from the team behind “The Daily.” You can find more information about it&nbsp;</em><a href=""https://www.nytimes.com/2019/11/19/podcasts/the-latest-impeachment-alexander-vindman.html"" target=""_blank""><em>here</em></a><em>.</em></p>","Wed, 20 Nov 2019 01:09:25 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/3f1d1c56-2ebd-4ca9-9bb7-d38bc6cf1e19.mp3']
A Broken Promise on Taxes,"<p>As they lobbied the Trump administration for a $1.5 trillion tax cut, corporations vowed to invest the savings back into the U.S. economy. Today, we investigate whether they made good on that promise.</p><p>Guest: <a href=""https://www.nytimes.com/by/jim-tankersley"" target=""_blank"">Jim Tankersley</a>, who covers economic and tax policy for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p><p>Background reading:</p><ul><li>FedEx’s leadership lobbied unsuccessfully for tax reform for years. Then it<a href=""https://www.nytimes.com/2019/11/17/business/how-fedex-cut-its-tax-bill-to-0.html?rref=collection%2Fbyline%2Fjim-tankersley&amp;action=click&amp;contentCollection=undefined&amp;region=stream&amp;module=stream_unit&amp;version=latest&amp;contentPlacement=1&amp;pgtype=collectionnytimes.com/thedaily"" target=""_blank""> wrote its own tax proposal</a> for President Trump — cutting the company’s corporate tax rate to zero.</li><li>How the Trump administration’s tax cuts<a href=""https://www.nytimes.com/2019/04/14/business/economy/income-tax-cut.htmlnytimes.com/thedaily"" target=""_blank""> may have affected you</a>, and why you might not believe it. </li></ul>","Tue, 19 Nov 2019 10:49:54 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/37c77431-2ff1-400f-9982-9a9785ae43e4.mp3']
The Latest: The Week Ahead in the Impeachment Hearings,"<p>Four witnesses will appear in tomorrow’s public hearings — three of whom listened directly to the July phone call between President Trump and Ukraine’s president that is now at the center of the impeachment inquiry. Plus, impeachment investigators are looking into whether Mr. Trump lied to Robert S. Mueller III.</p><p><em>“The Latest” is a new series on the impeachment inquiry, from the team behind “The Daily.” You can find more information about it&nbsp;</em><a href=""https://www.nytimes.com/2019/11/18/podcasts/the-latest-impeachment-mueller.html"" target=""_blank""><em>here</em></a><em>.</em></p>","Tue, 19 Nov 2019 00:38:17 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/4a048895-13a7-4bcf-b4e1-7290ff955984.mp3']
The Spectacular Rise and Fall of WeWork,"<p>It was one of the most valuable start-ups in the United States, with bold plans to revolutionize how and where people worked around the world. Today, we look at how the dream of WeWork crumbled — and explore the story of the man responsible for the wreckage.</p><p>Guest: <a href=""https://www.nytimes.com/by/amy-chozick?smid=pc-thedaily"" target=""_blank"">Amy Chozick</a>, a writer at large for The New York Times covering the personalities and power struggles in business, politics and media.</p><p>For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p><p>Background reading:</p><ul><li>Adam Neumann had an inexplicably persuasive charisma and a taste for risk. Then he found a<a href=""https://www.nytimes.com/2019/11/02/business/adam-neumann-wework-exit-package.html?rref=collection%2Fbyline%2Famy-chozick&amp;action=click&amp;contentCollection=undefined&amp;region=stream&amp;module=stream_unit&amp;version=latest&amp;contentPlacement=1&amp;pgtype=collection?smid=pc-thedaily"" target=""_blank""> kindred spirit with an open checkbook</a>.</li><li>WeWork is preparing to eliminate at<a href=""https://www.nytimes.com/2019/11/17/business/wework-layoffs.html?smid=pc-thedaily"" target=""_blank""> least 4,000 employees</a>, cutting nearly a third of its work force in an effort to staunch further financial losses. </li></ul>","Mon, 18 Nov 2019 10:59:04 -0000",['https://dts.podtrac.com/redirect.mp3/rss.art19.com/episodes/033d5aa6-84b9-4dca-a90b-34d12561cb61.mp3']
